Mosteiro	B-OBRA
de	I-OBRA
Santa	I-OBRA
Cruz	I-OBRA
História	O
A	O
Igreja	B-LOCAL
de	I-LOCAL
Santa	I-LOCAL
Cruz	I-LOCAL
de	O
Coimbra	B-LOCAL
foi	O
fundada	O
em	B-TEMPO
1131	I-TEMPO
por	O
D.	B-PESSOA
--SENTENCE--	I-PESSOA
Telo	I-PESSOA
(	O
São	B-PESSOA
Teotónio	I-PESSOA
)	O
e	O
11	B-VALOR
outros	O
religiosos	O
,	O
que	O
adotaram	O
a	O
regra	O
dos	O
Cónegos	B-ABSTRACCAO
Regrantes	I-ABSTRACCAO
de	I-ABSTRACCAO
Santo	I-ABSTRACCAO
Agostinho	I-ABSTRACCAO
.	O
A	O
nova	O
Igreja	B-ORGANIZACAO
recebeu	O
muitos	O
privilégios	O
papais	O
e	O
doações	O
dos	O
primeiros	O
reis	B-PESSOA
de	I-PESSOA
Portugal	I-PESSOA
,	O
tornando-se	O
a	O
mais	O
importante	O
casa	O
monástica	O
do	O
reino.	O
Sua	O
escola	O
foi	O
uma	O
das	O
melhores	O
instituições	O
de	O
ensino	O
do	O
Portugal	B-OUTRO
medieval	O
,	O
tendo	O
uma	O
grande	O
biblioteca	O
(	O
agora	O
na	O
Biblioteca	B-LOCAL
Pública	I-LOCAL
Municipal	I-LOCAL
do	O
Porto	B-LOCAL
)	O
e	O
um	O
activo	O
scriptorium.	O
Nos	B-TEMPO
tempos	I-TEMPO
de	O
D.	B-PESSOA
--SENTENCE--	I-PESSOA
Afonso	I-PESSOA
Henriques	I-PESSOA
,	O
primeiro	O
monarca	O
português	O
,	O
o	O
scriptorium	O
de	O
Santa	B-ORGANIZACAO
Cruz	I-ORGANIZACAO
foi	O
usado	O
como	O
máquina	O
de	O
consolidação	O
do	O
poder	O
real.	O
A	O
importância	O
da	O
Igreja	B-ORGANIZACAO
é	O
evidenciada	O
pelo	O
fato	O
de	O
que	O
D.	B-PESSOA
--SENTENCE--	I-PESSOA
Afonso	I-PESSOA
Henriques	I-PESSOA
e	O
seu	O
sucessor	O
,	O
D.	B-PESSOA
--SENTENCE--	I-PESSOA
Sancho	I-PESSOA
I	I-PESSOA
,	O
foram	O
sepultados	O
lá.	O
Na	O
Idade	B-OUTRO
Média	I-OUTRO
,	O
o	O
mais	O
famoso	O
estudante	O
da	O
Igreja	B-ORGANIZACAO
de	I-ORGANIZACAO
Santa	I-ORGANIZACAO
Cruz	I-ORGANIZACAO
foi	O
Fernando	B-PESSOA
Martins	I-PESSOA
de	I-PESSOA
Bulhões	I-PESSOA
,	O
o	O
futuro	O
Santo	B-PESSOA
António	I-PESSOA
de	O
Lisboa	B-LOCAL
(	O
ou	O
Santo	B-PESSOA
António	I-PESSOA
de	O
Pádua	B-LOCAL
)	O
.	O
Em	B-TEMPO
1220	I-TEMPO
,	O
o	O
religioso	O
assiste	O
à	O
chegada	O
à	O
Igreja	B-LOCAL
dos	O
restos	O
mortais	O
de	O
cinco	O
frades	O
franciscanos	O
martirizados	O
no	O
Marrocos	B-LOCAL
(	O
os	O
Mártires	B-PESSOA
do	O
Marrocos	B-LOCAL
)	O
,	O
e	O
decide	O
fazer-se	O
missionário	O
e	O
partir	O
de	O
Portugal	B-LOCAL
.	O
No	B-TEMPO
início	I-TEMPO
do	I-TEMPO
século	I-TEMPO
XVI	I-TEMPO
,	O
o	O
rei	B-PESSOA
D.	I-PESSOA
Manuel	I-PESSOA
I	I-PESSOA
ordena	O
uma	O
grande	O
reforma	O
,	O
reconstruindo	O
e	O
redecorando	O
a	O
igreja	O
e	O
o	O
mosteiro.	O
Nessa	B-TEMPO
época	I-TEMPO
são	O
transladados	O
os	O
restos	O
de	O
Afonso	B-PESSOA
Henriques	I-PESSOA
e	O
Sancho	B-PESSOA
I	I-PESSOA
dos	O
seus	O
sarcófagos	O
originais	O
para	O
novos	O
túmulos	O
decorados	O
em	O
estilo	O
manuelino.	O
Entre	B-TEMPO
1530	I-TEMPO
e	I-TEMPO
1577	I-TEMPO
funcionou	O
uma	O
imprensa	O
no	O
claustro.	O
É	O
possível	O
que	O
o	O
poeta	O
Luís	B-PESSOA
